DOI,Title,Creators
10.5281/zenodo.7442425,NeMig - A Bilingual News Collection and Knowledge Graph about Migration,Andreea Iana; Mehwish Alam; Alexander Grote; Katharina Ludwig; Philipp Müller; Christof Weinhardt; Heiko Paulheim
10.5281/zenodo.4518622,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.485151,Unsupervised Does Not Mean Uninterpretable: The Case For Word Sense Induction And Disambiguation,Alexander Panchenko; Eugen Ruppert; Stefano Faralli; Simone Paolo Ponzetto; Chris Biemann
10.5281/zenodo.4627251,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.6523399,Gollum: A Gold Standard for Large Scale\\Multi Source Knowledge Graph Matching,Sven Herting; Heiko Paulheim
10.5281/zenodo.7681877,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.8422037,SOTAB V2 for SemTab 2023,Keti Korini; Ralph Peeters; Christian Bizer
10.5281/zenodo.1320080,Rdf2Vec Dbpedia Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320147,Kglove Dbpedia Uniform Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1067700,"Polidoc.Net Codebook: National And Regional Manifestos And Other Political Documents Collected For The Research Projects ""Representation In Europe: Congruence Between Preferences Of Elites And Voters"" (Repcong) And ""The Impact Of Eu Cohesion Policy On European Identification"" (Cohesify)",Thomas Bräuninger; Marc Debus; Kenneth Benoit; Julian Bernauer; Polidoc.net Team
10.5281/zenodo.5518208,"Replication package for: Killer Incentives: Rivalry, Performance and Risk-Taking among German Fighter Pilots, 1939-45",Philipp Ager; Leonardo Bursztyn; Lukas Leucht; Hans‐Joachim Voth
10.5281/zenodo.6962675,Diversity-Driven Unit Test Generation (Data Set),Marcus Kessel; Colin Atkinson
10.5281/zenodo.4159491,Twenty-two Historical Encyclopedias (Original XML Encoding),Thora Hagen; Erik Ketzan; Fotis Jannidis; Andreas Witt
10.5281/zenodo.6395308,patccat: A classifier for patent claims,Bernhard Ganglmair; W. Keith Robinson; Michael Seeligson
10.5281/zenodo.3695590,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.4662515,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.6039372,GeNeG: German News Knowledge Graph,Andreea Iana; Alexander Grote; Kaharina Ludwig; Mehwish Alam; Philipp Müller; Christof Weinhardt; Harald Sack; Heiko Paulheim
10.5281/zenodo.7341309,Interactive Widget – Acceptance of autonomous vehicles dataset exploration,Celina Kacperski; Tobias Vogel; Florian Kutzner
